split_seed,train_seed,task,method,accuracy_mean,accuracy_std,macro_f1_mean,loss_mean,episode_count
0,0,pneumoniamnist,shared,0.7472222248713175,0.08047169465990901,0.7443427973323398,0.5547532074981265,9
0,0,pneumoniamnist,single,0.7388888928625319,0.10008676282538737,0.7346158093876309,0.5525434679455228,9
0,0,pneumoniamnist,source_bloodmnist,0.7222222354676988,0.09556121373397342,0.7191944602462981,0.5383221010367075,9
0,0,pneumoniamnist,source_breastmnist,0.736111130979326,0.09109671104610545,0.7282944718996683,0.5807686911688911,9
0,0,pneumoniamnist,source_dermamnist,0.7416666679912143,0.08003905731196267,0.7351757287979126,0.5518645909097459,9
0,0,pneumoniamnist,source_organmnist,0.7416666746139526,0.08196798064481417,0.7383835282590654,0.5594975418514676,9
0,0,pneumoniamnist,source_pathmnist,0.7527777817514207,0.05651941498810727,0.749089284075631,0.5223041971524557,9
0,0,tissuemnist,shared,0.2312500062916014,0.06343057345643052,0.21799866524007586,2.0540337695015802,9
0,0,tissuemnist,single,0.2291666716337204,0.06825102993909447,0.21783873195656472,2.058868474430508,9
0,0,tissuemnist,source_bloodmnist,0.22291666931576198,0.06373774602644335,0.20872128371977144,2.0945911407470703,9
0,0,tissuemnist,source_breastmnist,0.22222222884496054,0.054226730545790816,0.20701887846613923,2.143518156475491,9
0,0,tissuemnist,source_dermamnist,0.23333333929379782,0.0663648782559055,0.21583857242431906,2.035155084398058,9
0,0,tissuemnist,source_organmnist,0.2284722261958652,0.07174656283306288,0.2143405832660695,2.0690175559785633,9
0,0,tissuemnist,source_pathmnist,0.23263889054457346,0.066715472626898,0.2205048435781565,2.1191497908698187,9
0,1,pneumoniamnist,shared,0.6888889107439253,0.1862924119169145,0.6777723083893458,0.6113666527801089,9
0,1,pneumoniamnist,single,0.694444457689921,0.15601371505239903,0.672905901239978,0.6501637101173401,9
0,1,pneumoniamnist,source_bloodmnist,0.6611111230320401,0.17638341714717018,0.6454222421679232,0.6884919272528754,9
0,1,pneumoniamnist,source_breastmnist,0.6916666858726077,0.1274754921746512,0.6722991640369097,0.7563065489133199,9
0,1,pneumoniamnist,source_dermamnist,0.6833333472410837,0.16298007384446972,0.6613954376015398,0.6323903434806399,9
0,1,pneumoniamnist,source_organmnist,0.6666666815678278,0.20271593664183343,0.6471173721883032,0.6763022277090285,9
0,1,pneumoniamnist,source_pathmnist,0.6777777870496114,0.1905766124320074,0.6714297102557288,0.700783759355545,9
