split_seed,train_seed,task,shots,support_resample,episode_hash,primary_oracle,top1_expert,top2_expert,top1_top2_accuracy_margin,exact_accuracy_tie,epsilon_accuracy,epsilon_optimal_size,epsilon_optimal_experts
6,2,breastmnist,1,0,0b75c004793dd7144baf61b93876dba5881cb1c8b4594eb30841ab79d8a7a317,source_pneumoniamnist,source_pneumoniamnist,source_bloodmnist,0.0,True,0.01,3,shared|source_bloodmnist|source_pneumoniamnist
6,2,breastmnist,1,1,56c51dc99a72d8e804816cd42d411ec5cde7696aa35a137e13a2b8509446b1c3,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.025000035762786865,False,0.01,1,source_tissuemnist
6,2,breastmnist,1,2,f4c17afe8a3871cea72167603e91ae1922034e8c89f71ce158830e9a68c1f3f4,source_bloodmnist,source_bloodmnist,source_organmnist,0.02499997615814209,False,0.01,1,source_bloodmnist
6,2,breastmnist,1,3,35f8e0671f2d358787422af00f342cecc9da8c8809f5e05e82e72eebeb8cf530,source_bloodmnist,source_bloodmnist,source_pneumoniamnist,0.050000011920928955,False,0.01,1,source_bloodmnist
6,2,breastmnist,1,4,35fdf71951f8ed20d5d1a2285d030773ec9e75ba42671752e40eeb9bd6ae5ef9,source_pathmnist,source_pathmnist,source_organmnist,0.0,True,0.01,2,source_organmnist|source_pathmnist
6,2,breastmnist,1,5,a2a484c5fc7a716efe2c2596e2bcc6ff7a01492c9fcf346c5b897d651014b527,shared,shared,source_pathmnist,0.02499997615814209,False,0.01,1,shared
6,2,breastmnist,1,6,d794be75887f2862b4254ef6b2c9d75cb5312cc8dae2371f10af300db284220b,source_organmnist,source_organmnist,source_tissuemnist,0.02499997615814209,False,0.01,1,source_organmnist
6,2,breastmnist,1,7,9d2d641be9f134c0789a1c33a2407f325d838ef36fe191ce63ad74b1354be93c,source_pneumoniamnist,source_pneumoniamnist,source_organmnist,0.0,True,0.01,3,shared|source_organmnist|source_pneumoniamnist
6,2,breastmnist,1,8,db78f15b4de22546ca4f5654765dcb03bc7ea4d3db3a0abc8a782bfc6f87b25a,source_pathmnist,source_pathmnist,source_tissuemnist,0.050000011920928955,False,0.01,1,source_pathmnist
6,2,breastmnist,1,9,77115e9eab5514e41f730299eac2fc9677f7a2ea98ceccd975142f2311132dd8,shared,shared,source_tissuemnist,0.02499997615814209,False,0.01,1,shared
6,2,breastmnist,5,0,1b50d059664b685f82e5a6562e94f248ce2ce43807ca9be87d11727e27ac02b2,source_pathmnist,source_pathmnist,source_bloodmnist,0.0,True,0.01,2,source_bloodmnist|source_pathmnist
6,2,breastmnist,5,1,5e1be07652457e9bc5ad86eee85c57edd610bce4aa29f3b7542f785547203e3b,source_tissuemnist,source_tissuemnist,source_organmnist,0.050000011920928955,False,0.01,1,source_tissuemnist
6,2,breastmnist,5,2,b958339a8daff97d5832f2141678bc681bfc11fb09ba93e97a5b6720869d75ff,shared,shared,source_pneumoniamnist,0.025000035762786865,False,0.01,1,shared
6,2,breastmnist,5,3,6f0b19bef99e66d3ce8a8050893c75d65a6fbe0e84f48c93ab4adc7470b3f631,source_tissuemnist,source_tissuemnist,shared,0.02499997615814209,False,0.01,1,source_tissuemnist
6,2,breastmnist,5,4,890534e9345a873a60609f9f65cf460f84d32bcb693a453d0c877a92911ad9dd,source_pathmnist,source_pathmnist,source_organmnist,0.0,True,0.01,3,shared|source_organmnist|source_pathmnist
6,2,breastmnist,5,5,23a6f43bafd88fb22846364ffbb155c4e20864d8c54ed77eac97c937739035d1,source_bloodmnist,source_bloodmnist,source_organmnist,0.0,True,0.01,2,source_bloodmnist|source_organmnist
6,2,breastmnist,5,6,a7e840ef019502881f93e0b23c871b7d4fdf9faebfefbf1c1f5d86b1f24d866b,source_bloodmnist,source_bloodmnist,source_organmnist,0.0,True,0.01,3,source_bloodmnist|source_organmnist|source_pathmnist
6,2,breastmnist,5,7,a31add07718406877c9ec4f161770aeb4eb127dd0859eb001abab867fa683194,source_pathmnist,source_pathmnist,source_tissuemnist,0.02499997615814209,False,0.01,1,source_pathmnist
6,2,breastmnist,5,8,06ceada4e623fda6bfba177ed9fa76a1aca875ac8afdf4c8e2a7191589c529a4,source_tissuemnist,source_tissuemnist,source_bloodmnist,0.0,True,0.01,3,shared|source_bloodmnist|source_tissuemnist
6,2,breastmnist,5,9,e9f21f6b2cda1b0fcc051ecd658150bdffb5e724492f65c9e558ec7b81a9310d,source_tissuemnist,source_tissuemnist,shared,0.0,True,0.01,2,shared|source_tissuemnist
6,2,breastmnist,16,0,29320a1aac0d4ce7a808c47121e8c66775c03ad571be0f09ea9bf4fbae989393,source_pathmnist,source_pathmnist,source_tissuemnist,0.02499997615814209,False,0.01,1,source_pathmnist
6,2,breastmnist,16,1,f0198c0b74407f1cd967403bb5a88795d6f7b77a3730d61518f6bafd41eab390,source_organmnist,source_organmnist,source_pneumoniamnist,0.025000035762786865,False,0.01,1,source_organmnist
6,2,breastmnist,16,2,729f0a787c5e14695323ccfd01c7738f5446866f1a6f8bf33a1e0659eac86b1c,source_tissuemnist,source_tissuemnist,shared,0.02499997615814209,False,0.01,1,source_tissuemnist
6,2,breastmnist,16,3,aaa80a9abfbc85d247e521a59ca14f249d481b37f7e6352f83cbd7623319651d,source_bloodmnist,source_bloodmnist,source_tissuemnist,0.0,True,0.01,3,source_bloodmnist|source_pneumoniamnist|source_tissuemnist
6,2,breastmnist,16,4,9687845e541244acd2898b631cbaabf7c72cd5f39a35eaa4efa9ea610977a3b2,source_organmnist,source_organmnist,source_tissuemnist,0.0,True,0.01,2,source_organmnist|source_tissuemnist
6,2,breastmnist,16,5,e51b55c8c2ccfc1cebd15dbc10dbf35f5cb3323eb4dea243395314232d96c680,source_bloodmnist,source_bloodmnist,source_organmnist,0.02499997615814209,False,0.01,1,source_bloodmnist
6,2,breastmnist,16,6,1a3f52b28253f07080ba56000d07b6ba20c261dfe1a0c2da1863143abbf1b469,source_pathmnist,source_pathmnist,source_bloodmnist,0.0,True,0.01,2,source_bloodmnist|source_pathmnist
6,2,breastmnist,16,7,08da0e222d4f9e5388a34a8bdda3d56a54b4afdda73e707aa1565efecfee9efc,source_tissuemnist,source_tissuemnist,source_organmnist,0.050000011920928955,False,0.01,1,source_tissuemnist
6,2,breastmnist,16,8,9cb18eb5f11b0555522a670e7aed606b52b31d1697fc7e4160480c1c0163d431,source_tissuemnist,source_tissuemnist,shared,0.02499997615814209,False,0.01,1,source_tissuemnist
