method,split_seed,task,mean_accuracy_drop,accuracy_drop_ci_low,accuracy_drop_ci_high,mean_nll_increase,nll_increase_ci_low,nll_increase_ci_high,episode_count,analysis_only_query_label_derived
forced_worst,6,breastmnist,0.10166666838857863,0.08888889681961801,0.11444444490803612,0.09695192409886254,0.062285077729158936,0.13340503128866354,90,True
forced_worst,6,octmnist,0.07472222281826867,0.06499999744196733,0.08569444617049563,0.08600022262997098,0.048584398627281186,0.13134681181775198,90,True
forced_worst,36,bloodmnist,0.056319447192880845,0.052013889766401714,0.060833335423635115,0.0387571652730306,0.017721262375513712,0.05795829375584918,90,True
forced_worst,36,pathmnist,0.06623456941710579,0.06012191093630261,0.0732098715669579,0.07187333438131545,0.04220047420925564,0.09944203447964453,90,True
random_expected,6,breastmnist,0.04856481535567177,0.04263889335095881,0.05435185005543408,0.03903818478186926,0.025495724385535278,0.053308912717081894,90,True
random_expected,6,octmnist,0.03710648331929137,0.0325000001317649,0.04268518666564315,0.040574957927068084,0.018525410747086565,0.06747962780020857,90,True
random_expected,36,bloodmnist,0.0280787050448082,0.02517361149122869,0.031145838154134922,0.022095414444252295,0.010178335044119078,0.03252720387445555,90,True
random_expected,36,pathmnist,0.031213991509543525,0.027818932182810924,0.03516460653670408,0.04394987258646224,0.027799787587589702,0.06399407808703404,90,True
repeated_random_mean,6,breastmnist,0.04836111121707493,0.04136111509220468,0.05627777286122243,0.038864687879880275,0.02406818660597007,0.05452269649753967,90,True
repeated_random_mean,6,octmnist,0.037291669348875685,0.03229167100952732,0.04279166535453663,0.03799650139278836,0.01587717326151,0.06456721986002392,90,True
repeated_random_mean,36,bloodmnist,0.02815277952286933,0.02486093875434665,0.0320696225249105,0.022712528573142148,0.010379256106085243,0.03375950102342498,90,True
repeated_random_mean,36,pathmnist,0.03059876508182951,0.026549074436227484,0.03512962776505285,0.04557227558559841,0.027616653263568863,0.06708231889539297,90,True
task_modal_swap,6,breastmnist,0.04638888935248057,0.03555555839505461,0.057777773009406196,0.06712066961659326,0.04292629808187485,0.09358595881197183,90,True
task_modal_swap,6,octmnist,0.05375000122520659,0.04180555608537462,0.06861111192239654,0.11561969783571031,0.06753679566913182,0.1808708023693826,90,True
task_modal_swap,36,bloodmnist,0.03180555436346266,0.025902782364024057,0.03756944141454167,0.06485148006015354,0.05276710818211237,0.07807731591992909,90,True
task_modal_swap,36,pathmnist,0.042962965038087636,0.034753093438016046,0.05141974754631519,0.110538782676061,0.08919401463535097,0.13036461977495087,90,True
task_assignment_permutation,6,breastmnist,0.0441666669315762,0.03555555243459013,0.05333333084152805,0.030881458520889284,0.00921920809480879,0.054009329047467976,90,True
task_assignment_permutation,6,octmnist,0.02625000261598163,0.019861115680800543,0.03305555715329118,-0.016217985418107775,-0.031567262642913395,-0.003946817153029972,90,True
task_assignment_permutation,36,bloodmnist,0.025000000165568456,0.015694443037112555,0.03284721784293651,-0.02626938819885254,-0.058525098992718586,0.0037824669480323613,90,True
task_assignment_permutation,36,pathmnist,0.05351852079232534,0.04722222154339155,0.059691357943746776,0.03599793844752842,-0.020778244419230353,0.08633118415872255,90,True
wrong_task_expert_assignment,6,breastmnist,0.0441666669315762,0.035277777910232545,0.05361111298203469,0.030881458520889284,0.009304787624213433,0.05401429235107367,90,True
wrong_task_expert_assignment,6,octmnist,0.02625000261598163,0.02000000427166621,0.032916669050852464,-0.016217985418107775,-0.0316175408826934,-0.004007717967033391,90,True
wrong_task_expert_assignment,36,bloodmnist,0.025000000165568456,0.015555551962720023,0.03291666790015167,-0.02626938819885254,-0.05833251045809852,0.003862512873278722,90,True
wrong_task_expert_assignment,36,pathmnist,0.05351852079232534,0.04722222121225463,0.059692909850014554,0.03599793844752842,-0.01992433554596371,0.08673807953794797,90,True
global_most_used_mask,6,breastmnist,0.002777777115503947,0.0011111107137468125,0.0047222250037723115,-0.0014841943979263307,-0.008758609957165188,0.003945075182451141,90,True
global_most_used_mask,6,octmnist,0.0013888882266150581,0.0002777775128682454,0.0036111096541086834,-0.0007503045929802788,-0.007485073771741655,0.006098700794908731,90,True
global_most_used_mask,36,bloodmnist,0.0036111113097932602,0.0010416666666666667,0.007361110722025236,0.008889696333143446,-0.001173908776707119,0.022284392548931962,90,True
global_most_used_mask,36,pathmnist,0.004876543415917291,0.0018518520726097953,0.008456792765193516,0.0362194107638465,0.012901629242632126,0.06473826777603892,90,True
conditional_global_mask,6,breastmnist,0.022727267308668656,0.014583329359690348,0.03124999673002296,-0.012143408710306341,-0.07293344988591141,0.032890578359365444,11,True
conditional_global_mask,6,octmnist,0.017857134342193604,0.01041665921608607,0.02499999354283015,-0.009646773338317871,-0.06083530286947886,0.04416978359222412,7,True
conditional_global_mask,36,bloodmnist,0.019117648110670203,0.011319446158077982,0.026909723050064508,0.047063098234288836,-0.006141076485315959,0.06901014533307817,17,True
conditional_global_mask,36,pathmnist,0.012539683069501604,0.0075617242190572954,0.01626748617105429,0.09313562767846244,0.05123325490873623,0.11631489045479718,35,True
task_modal_conditional_mask,6,breastmnist,0.02391304399656213,0.014791669448216757,0.03583332302669684,0.04625873073287632,0.015580395180732015,0.07697712808847426,23,True
task_modal_conditional_mask,6,octmnist,0.010763893524805704,0.005640223641426136,0.01605850379436443,0.011646168099509345,-0.007353466000312414,0.026762055196823217,36,True
task_modal_conditional_mask,36,bloodmnist,0.015750000476837157,0.009583320207893847,0.02102273614569144,0.017817044258117677,-0.12580073148012164,0.06098475141958757,25,True
task_modal_conditional_mask,36,pathmnist,0.012539683069501604,0.00769789155110035,0.016221861848059824,0.09313562767846244,0.05296097141173151,0.11555301058623524,35,True
