comparison,scope,split_seed,task,mean_accuracy_delta,accuracy_delta_ci_low,accuracy_delta_ci_high,mean_nll_improvement,episode_count
random_expected,split,6,ALL,-0.0016319439504985465,-0.008414349356252284,0.0044215863018676055,-0.014089186475784684,360
random_expected,split,36,ALL,-0.004477237323643985,-0.015853910683826716,0.005827767321219043,0.029569163007868667,360
random_expected,task,6,breastmnist,0.0015046298641849427,-0.004421297144144776,0.007708333258482587,-0.01427923245010552,180
random_expected,task,6,octmnist,-0.004768517765182036,-0.01201388592797297,0.002581305697008411,-0.013899140501463849,180
random_expected,task,36,bloodmnist,0.0023726875721304472,-0.005613424966663675,0.009901625252225328,0.024066264209923915,180
random_expected,task,36,pathmnist,-0.011327162219418423,-0.02025205711868626,-0.0013680583121324064,0.03507206180581341,180
query_only_weighting,split,6,ALL,0.0003819445768992106,-0.01996527390347587,0.022430552459425396,-0.04030650158723195,360
query_only_weighting,split,36,ALL,0.0038059419641892117,-0.0030864177478684314,0.010354936642365323,0.028066016568077935,360
query_only_weighting,task,6,breastmnist,0.015972221228811475,0.004305557409922282,0.03027777459058497,-0.015346418486701117,180
query_only_weighting,task,6,octmnist,-0.015208332075013055,-0.025416663794053926,-0.004722224138677121,-0.0652665846877628,180
query_only_weighting,task,36,bloodmnist,0.004062502003378338,-0.0018750001241763434,0.011493060166637103,0.039110443327162,180
query_only_weighting,task,36,pathmnist,0.0035493819250000847,-0.008950617271992896,0.013981478586792948,0.01702158980899387,180
support_query_shuffle,split,6,ALL,0.0023611223532093895,-0.004374987797604667,0.008333344264990755,-0.00811731798781289,360
support_query_shuffle,split,36,ALL,-0.007897361781862048,-0.023904301975336342,0.007812512439365187,0.01807410783237881,360
support_query_shuffle,task,6,breastmnist,0.0009722348716523912,-0.009444430350429482,0.01013890458891789,-0.01652400659190284,180
support_query_shuffle,task,6,octmnist,0.003750009834766388,-0.0027777676801714634,0.010416675866064097,0.0002893706162770589,180
support_query_shuffle,task,36,bloodmnist,0.0017361227009031507,-0.01017360200898515,0.014236123880578412,0.009268320269054837,180
support_query_shuffle,task,36,pathmnist,-0.017530846264627246,-0.02972220569021172,-0.0016658794176247498,0.026879895395702787,180
support_label_removal,split,6,ALL,-0.00017361193895339965,-0.02048610855514805,0.02152777744664086,-0.04100777953863144,360
support_label_removal,split,36,ALL,0.004182099426786105,-0.0024945014508234126,0.01048635027060906,0.02916083468331231,360
support_label_removal,task,6,breastmnist,0.01541666438182195,0.0031944447052147658,0.029583332613110542,-0.016924762394693163,180
support_label_removal,task,6,octmnist,-0.01576388825972875,-0.025486109674804736,-0.005138889609111679,-0.06509079668256972,180
support_label_removal,task,36,bloodmnist,0.0044444460835721756,-0.0014583331036070984,0.01201389333440198,0.03990297317504883,180
support_label_removal,task,36,pathmnist,0.003919752770000034,-0.008086418281826708,0.014382713929646544,0.01841869619157579,180
wrong_support_task,split,6,ALL,0.0015972334891557693,-0.0049305409213735,0.007777787649797069,-0.011031359102990893,360
wrong_support_task,split,36,ALL,-0.007964878073996968,-0.024336400288674565,0.007882389913623526,0.01881822579436832,360
wrong_support_task,task,6,breastmnist,-0.0013888754778438143,-0.008753461887439088,0.005416680711011092,-0.0212531973918279,180
wrong_support_task,task,6,octmnist,0.004583342456155353,-0.0024305446321765583,0.011180565510359078,-0.0008095208141538832,180
wrong_support_task,task,36,bloodmnist,0.0019097324046823713,-0.010834193811234499,0.0148272710541884,0.010303446981641982,180
wrong_support_task,task,36,pathmnist,-0.017839488552676308,-0.029320973207553228,-0.002993033739427737,0.02733300460709466,180
support_prototype_weighting,split,6,ALL,-0.0014583332671059502,-0.0036805551085207196,0.0013194443471729756,0.006357825216319826,360
